A.ADM1	политико-административное деление первого порядка	первоначальное политико-административное  деление, например, деление США на штаты
H.RPDS	пороги реки	мелководный каменистый или скалистый участок в русле реки с относительно большим падением уровня воды и повышенной скоростью течения
H.RSV	водохранилище	искусственный водоём, образованный, как правило, в долине реки водоподпорными сооружениями для накопления и хранения воды в целях её использования в народном хозяйстве
H.RSVI	периодически пересыхающее водохранилище	
H.RSVT	водяной бак	наполненный водой бак или резервуар, находящийся на, выше или ниже уровня земли
H.RVN	овраг	глубокая длинная впадина на поверхности земли, образовавшаяся от действия дождевых и талых вод
H.SBKH	себха	замкнутое бессточное понижение рельефа с плоским глинистым днищем, занятым солончаками
H.SD	широкая лагуна	длинный морской рукав, образующий пролив между материком и островом, или островами
H.SEA	море	большое водное пространство, ограниченное с одной или нескольких сторон сушей и отделяемое от самого океана островами или возвышенностями подводного рельефа
H.SHOL	мелководье	участок (обычно прибрежный) реки, озера и т.п. с небольшой глубиной
H.SILL	подводный хребет	вытянутое горное поднятие на дне океанов и морей. Часто подводные хребты выступают над поверхностью воды в виде островов или целых архипелагов
H.SPNG	родник	водный источник, бьющий, текущий из глубины земли; ключ
H.SPNS	серный источник	источник воды, насыщенной сероводородом
H.SPNT	термальный источник	источник термальных вод, температура которых выше 20°C
H.STM	ручей	небольшой мелкий водоток с постоянным или временным течением
H.STMA	протока	водоток, отходящий от реки и впадающий в неё ниже по течению;
H.STMB	излучина ручья	крутой поворот, изгиб ручья
H.STMC	водоток канала	естественный или искусственный водный поток канала
H.STMD	рукав реки	ответвление, отходящее от главного русла реки
H.STMH	верховье	часть реки, близкая к её истокам; прилегающая к ней местность
H.STMI	река с периодическим водотоком	
H.STMIX	участок реки с периодическим водотоком	
H.STMM	устье реки	место впадения реки (в море, озеро и т.п.), конечный участок нижнего течения реки
H.STMQ	высохший водоем	водоем, в котором больше нет воды, но который еще заметный благодаря его топографическим или растительным особенностям
H.STMS	ручьи	небольшие мелкие водотоки с постоянным или временным течением
H.STMSB	высохшая река	река,  полностью высохшая или превратившаяся в подземный канал
H.STMX	участок ручья	
H.STRT	пролив	узкое водное пространство, разъединяющее участки суши и соединяющее водоёмы (моря, озёра и т.п.) или их части
H.SWMP	лесное болото	заболоченная территория, на которой преобладает древесная растительность
H.SYSI	оросительная система	земельная территория вместе с сетью каналов и др. гидротехнических и эксплуатационных сооружений, обеспечивающих её орошение
H.TNLC	судоходный тоннель	тоннель, сооружаемый при пересечении судоходным каналом возвышенности, горного хребта и т. п.
H.WAD	вади	русло или долина пересыхающего водотока; в Азии, в Африке
H.WADB	излучина вади	изогнутый участок вади
H.WADJ	место слияния двух или более вади	a place where two or more wadies join
H.WADM	устье вади	место впадения вади (в море, озеро и т.п.), конечный участок нижнего течения вади
H.WADS	множество вади	русла или долины пересыхающих водотоков; в Азии, в Африке
H.WADX	участок вади	
H.WHRL	водоворот	вращательное движение воды в реках, морях и т.п.; место, где происходит такое движение
H.WLL	колодец	глубокая яма с отвесными стенками, обычно защищённая от обвалов срубом, служащая для добывания воды из водоносных слоёв земли
H.WLLQ	заброшенный колодец	
H.WLLS	колодцы	глубокие ямы с отвесными стенками, обычно защищённые от обвалов срубом, служащие для добывания воды из водоносных слоёв земли
H.WTLD	заболоченная местность	территория, подвергающаяся частым наводнениям; здесь часто образуются болота, на которых растет характерная для них болотная растительность
H.WTLDI	периодически затопляемая территория	
H.WTRC	поток	стремительно текущая река или ручей
H.WTRH	водяная яма	естественное углубление, в котором собирается вода
L.AGRC	сельскохозяйственная колония	участок земли, отведенный для сельскохозяйственных поселений
L.AMUS	Парк аттракционов  (ПКиО)	парк развлечений, то же, что и ярмарка, только с постоянным месторасположением
L.AREA	Область	местность, земля, край; часть какой-либо территории (страны, государства, материка, земной суши и т.п.), выделяемая при районировании по определённому существенному признаку
L.BSND	Водосборный бассейн	поверхность, с которой речная система, море или озеро собирают воды
L.BSNP	нефтегазовый бассейн	область с богатой нефтью структурной впадиной
L.BTL	поле боя	район боевых действий; имеет важное историческое значение
L.CLG	поляна	открытое пространство в парке или в лесу
L.CMN	общинные земли	земли (выгоны, сенокосы, леса), которые  находятся в общем пользовании
L.CNS	лицензионная территория	арендуемая государством земля, пользование которой необходимо для экономического развития, например, шахты, лесные массивы
L.COLF	угольный бассейн	площадь непрерывного или островного распространения угленосных формаций, значительная по размерам или запасам угля
L.CONT	континент	континент: Евразия, Африка, Северная Америка, Южная Америка, Антарктида, Австралия, Океания
L.CST	морской берег	полоса суши, примыкающая к водной поверхности моря или океана и взаимодействующая с ним
L.CTRB	бизнес центр	деловая часть города
L.DEVH	квартал	часть застроенной территории населенного пункта, предполагающая целостность архитектурного замысла
L.FLD	поле	безлесная равнина, ровное (в отличие от селения, леса) обширное пространство
L.FLDI	ирригационные поля	участки земли, подготовленные для естественной биологической очистки сточных вод и выращивания с.-х. растений
L.GASF	месторождение газа	совокупность залежей природного газа на определенной территории
L.GRAZ	пастбище	участок травянистой растительности, используемый и поддерживаемый для выпаса домашних животных
L.GVL	покрытие из гравия	покрытая гравием территория
L.INDS	промышленный район	территория с ярко выраженной индустриально-производственной специализацией
L.LAND	арктические земли	участок земли в Арктике
L.LCTY	район	название низовой административно-территориальной единицы
L.MILB	военная база	территория (важный в стратегическом или политическом отношении пункт, район) и размещенные на ней войска с запасами оружия, боеприпасов, продовольствия и других материальных средств, необходимых для боевой и повседневной деятельности
L.MNA	район разработки	район добычи полезных ископаемых
L.MVA	полигон	участок суши или моря, предназначенный для испытаний различных видов оружия, боевых средств и техники, а также для боевой подготовки войск
L.NVB	военно-морская база	оборудованный и обороняемый район (зона) побережья и прилегающего участка моря обычно с несколькими пунктами базирования кораблей, с силами и средствами, предназначенными для обороны
L.OAS	оазис	участок пустыни или полупустыни с обильным естественным или искусственным увлажнением, обусловленным близостью рек и грунтовых вод, и с богатой растительностью
L.OILF	нефтяное месторождение	место под землей, где залегают запасы нефти
L.PEAT	торфяное месторождение	место, где добывают торф
L.PRK	парк	обширная озелененная территория, благоустроенная и художественно оформленная для отдыха под открытым небом
L.PRT	порт	место с закрытым водным пространством, специально оборудованное для стоянки, погрузки и разгрузки судов, гавань
L.QCKS	зыбучие пески	пески, перенасыщенные водой восходящих источников и способные вследствие этого засасывать попадающие на них предметы, животных и человека
L.RES	заповедник	особо охраняемая территория, полностью исключенная из любой хозяйственной деятельности в целях сохранения в нетронутом виде природных комплексов
L.RESA	агрозаповедник	участок земли, предназначенный для агромелиорации
L.RESF	лесной заповедник	особо охраняемый участок леса, использование которого контролируется
L.RESH	заповедно-охотничье хозяйство	участок территории, выделенный для интенсивного воспроизводства дичи и проведения строго регулируемых охот
L.RESN	особо охраняемая природная  территория	особо охраняемые участки земли, водной поверхности и воздушного пространства над ними, где располагаются природные комплексы и объекты, которые имеют свое научное, культурное, эстетическое и оздоровительное значение, которые изъяты решениями органов государственной власти полностью или частично из хозяйственного использования
L.RESP	пальмовый заповедник	место, где растут пальмы, использование которых контролируется
L.RESV	резервация	территории, отведенные для поселения коренного населения страны
L.RESW	резерват	заповедник, территория, где природные богатства (животные и растения) находятся под особой охраной правительства
L.RGN	регион	область, район, территория, часть страны, отличающиеся совокупностью естественных или исторически сложившихся экономико-географических условий и национального состава населения
L.RGNE	экономический регион	регион страны, характеризующийся своеобразием природных и экономических условий; деление страны на эк. регионы используется для получения статистических данных
L.RGNH	historical region	a former historic area distinguished by one or more observable physical or cultural characteristics
L.RGNL	озерный край	место скопления большого количества озер
L.RNGA	артиллерийский полигон	участок земли, где проходят военные артиллерийские учения
L.SALT	солевой бассейн	мелководье или равнинная местность, где после периодических наводнений собирается соль
L.SNOW	ледник	место скопления многолетнего снега и льда
L.TRB	территория племени	участок земли, являющийся в течение некоторого времени местом жительства для кочующих племен
NULL	недоступно	недоступно
P.PPL	населенный пункт	место, где живут люди (город, село, поселок и т. п.)
P.PPLA	центр административного деления первого порядка	центр административного деления первого порядка (столица политического образования предшествует центру АТД первого порядка)
P.PPLA2	центр административного деления второго порядка	
P.PPLA3	центр административного деления третьего порядка	
P.PPLA4	центр административного деления четвертого порядка	
P.PPLC	столица политического образования	
P.PPLCH	historical capital of a political entity	a former capital of a political entity
P.PPLF	деревня	населенный пункт, где большая часть населения занята в сельским хозяйством
P.PPLG	здание правительства политического образования	
P.PPLH	historical populated place	a populated place that no longer exists
P.PPLL	населенный пункт	первичная единица расселения людей в пределах одного застроенного земельного участка: город, поселок городского типа, село. Обязательным признаком населенного пункта является постоянство его использования как места обитания
P.PPLQ	покинутый населенный пункт	
P.PPLR	религиозная община	населенный пункт, где большую часть населения составляют люди, объединенные одной верой. Например, монастырь
P.PPLS	населенные пункты	первичные единицы расселения людей в пределах одного застроенного земельного участка: город, поселок городского типа, село. Обязательным признаком населенных пункт является постоянство его использования как места обитания.
P.PPLW	разрушенный населенный пункт	населенный пункт (деревня, город), пострадавший в результате природной катастрофы или войны
P.PPLX	участок населенного пункта	
P.STLMT	еврейские поселения	
R.CSWY	гать	насыпная дорога для проезда, прохода через топкое место
R.OILP	нефтепровод	трубопровод для перекачки нефти и нефтепродуктов
R.PRMN	променад	место для прогулки, особ. набережная, проспект, бульвар, аллея, палуба корабля
R.PTGE	волок	перевал в верховьях рек различных бассейнов
R.RD	дорога	полоса земли, служащая для езды и ходьбы
R.RDA	старая дорога	развалины, на месте которых была дорога во времена античности
R.RDB	поворот дороги	изогнутый участок дороги
R.RDCUT	выемка грунта под дорогу	вырытый в горном хребте туннель, через который будет проведена дорога
R.RDJCT	перекресток	место пересечения двух или более дорог
R.RJCT	железнодорожный узел	пункт на пересечении нескольких ж.-д. линий, представляющий собой сложный комплекс разнообразных технических сооружений и устройств
R.RR	железная дорога	рельсовый путь, предназначенный для движения поездов
R.RRQ	заброшенная железная дорога	
R.RTE	караванный путь	маршрут следования караванов
R.RYD	сортировочная станция	техническая железнодорожная станция для расформирования и формирования различных категорий поездов, выполнение техническое обслуживание и коммерческий осмотр составов поездов и устранение выявленных неисправностей вагонов, смена локомотивов и локомотивных бригад
R.ST	улица	пространство между двумя рядами домов в населенных пунктах для проезда и прохода
R.STKR	скотопрогон	маршрут перегона крупного рогатого домашнего скота
R.TNL	туннель	подземное сооружение, служащее для транспортных целей
R.TNLN	природный туннель	пещера, открытая с двух концов
R.TNLRD	автодорожный туннель	тоннель, через который проходит дорога
R.TNLRR	железнодорожный туннель	тоннель, по которому проходит ж/д дорога
R.TNLS	туннели	подземные  сооружение, служащие для транспортных целей
R.TRL	тропинка	узкая пешеходная дорожка, протоптанная людьми или животными в лесу, в поле, по снегу и т. п.
S.ADMF	администрация	Исполнительные и распорядительные органы управления, власти в государстве.
S.AGRF	агробаза	здание или участок земли, используемый для повышения качества сельскохозяйственной продукции
S.AIRB	авиабаза	земельный (водный) участок, предназначенный для базирования самолётов стратегической, тактической и транспортной авиации, вертолётов, частей обеспечения, ремонта, запасов материальных и технических средств обеспечения боевых действий
S.AIRF	аэродром	комплекс сооружений, оборудования и земельный участок с воздушным пространством, предназначенный для взлёта, посадки, размещения и обслуживания самолётов
S.AIRH	вертолетная площадка	земельный участок, площадка на здании, судне и т.п., оборудованные для взлёта, посадки и обслуживания вертолётов
S.AIRP	аэропорт	комплекс сооружений (с аэродромом и аэровокзалом) для осуществления регулярных полётов транспортной авиации и обслуживания пассажиров
S.AIRQ	заброшенный аэродром	
S.AMTH	амфитеатр	декоративное сооружение в форме эллипса со ступенчато расположенными рядами сидений, предназначенное для зрелищных мероприятий
S.ANS	городище	остатки древнего укрепленного поселения или города
S.AQC	aquaculture facility	facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture
S.ARCH	арка	декоративное сооружение в виде больших ворот со сводом
S.ASTR	обсерватория	научное учреждение, ведущее астрономические и геофизические наблюдения и исследования; здание, специально оборудованное для таких наблюдений
S.ASYL	убежище	место, где можно укрыться, скрыться от чего-н.
S.ATHF	стадион	комплексное спортивное сооружение со специально оборудованными площадками для состязаний, тренировок, вспомогательными помещениями и трибунами для зрителей
S.ATM	банкомат	автоматическое устройство, предназначенное для получения наличных денег по кредитной карточке.
S.BANK	банк	особые экономические институты, осуществляющие: аккумуляцию денежных средств и накоплений, предоставление кредита, проведение денежных расчётов, выпуск в обращение определённых видов денег
S.BCN	маяк	устройство, оборудованное звуковой, световой или радиотехнической сигнализацией для навигационного ориентирования судов, самолетов и т.п.
S.BDG	мост	сооружение для перехода, переезда через реку, овраг, железнодорожный путь и т.п.
S.BDGQ	разрушенный мост	мост, который больше не функционирует
S.BLDG	здание	архитектурное сооружение, постройка (обычно больших размеров), например, дом, завод и т.п.
S.BLDO	office building	commercial building where business and/or services are conducted
S.BP	межевой знак	ограничительный знак, используемый для обозначения границ
S.BRKS	бараки	шалаши, временные, легкие строения для размещения войск или рабочих
S.BRKW	волнорез	гидротехническое сооружение для защиты места стоянки судов или берега от разрушительного действия волн
S.BSTN	прессовальная станция	место, где прессуют сено в тюки
S.BTYD	лодочная мастерская	расположенное на берегу моря, реки и т.п.  сооружение, которое занимается обслуживанием, ремонтом и изготовлением лодок
S.BUR	могила	яма для погребения умершего
S.BUSTN	автостанция	транспортное предприятие для обслуживания пассажиров междугородных и пригородных автобусных сообщений
S.BUSTP	автобусная остановка	пункт, место, установленные для посадки и высадки пассажиров
S.CARN	пирамида из камней	груда камней, служащая условным знаком, надгробным памятником и т.п.
S.CAVE	пещера	углубление, полое пространство, образовавшееся в земной коре, горных массивах естественным путём или созданные человеком, с выходом наружу
S.CH	церковь	здание, в котором происходит христианское богослужение
S.CMP	лагерь	временное поселение, стоянка
S.CMPL	лесной поселок	временное поселение лесозаготовителей
S.CMPLA	лагерь сезонных рабочих	лагерь, в котором живут трудовые мигранты, приезжающие на заработки
S.CMPMN	рудничный поселок	временное поселение горняков
S.CMPO	поселок нефтяников	поселок, в котором живут работники нефтяной промышленности
S.CMPQ	покинутый лагерь/поселок	
S.CMPRF	лагерь беженцев	лагерь, в котором живут беженцы (люди, покинувшие место своего жительства, спасаясь от бедствия (землетрясения, войны, голода и т.п.)
S.CMTY	кладбище	место, предназначенное для погребения умерших
S.COMC	узел связи	совокупность технических средств оператора связи, обеспечивающих оказание услуг связи и присоединение к сети общего пользования
S.CRRL	корраль	загон для скота
S.CSNO	казино	игорный дом, в котором осуществляется проведение азартных игр
S.CSTL	замок	здание (или комплекс зданий), сочетающие в себе жилые и оборонительно функции
S.CSTM	таможня	помещение, где размещается учреждение, ведающее контролем провоза через границу грузов, багажа, почты и собирающее пошлину за такой провоз
S.CTHSE	здание суда	здание, в котором проходят заседания суда
S.CTRA	центр атомных исследований	научный центр, в котором проводятся атомные исследования
S.CTRCM	дом культуры	помещение для проведения культурных и общественных мероприятий
S.CTRF	центр обслуживания	центр, предоставляющий не одну, а сразу несколько услуг одновременно
S.CTRM	медицинский центр	комплекс лечебных учреждений; включает в себя: больницу, поликлинику, аптеку, медицинский институт
S.CTRR	религиозный центр	комплекс нескольких религиозных учреждений (монашеская обитель, школа для священнослужителей, церковь)
S.CTRS	космический центр	центр, который осуществляет запуск и наблюдение за полетом искусственных спутников земли и космических кораблей
S.CVNT	женский монастырь	обитель, общежитие монахинь
S.DAM	дамба	гидротехническое сооружение, искусственная насыпь для предохранения местности от затопления, для ограждения водохранилищ и т.п.
S.DAMQ	разрушенная дамба	дамба, которая больше не функционирует
S.DAMSB	грунтовая дамба	дамба, возведенная на  песчаном дне реки
S.DARY	молочный комбинат	предприятие по производству молочных продуктов
S.DCKD	сухой док	портовое сооружение для ремонта и постройки судов; сухой док сооружается на защищённой от волнения акватории и представляет собой отделяемую от неё с торца затвором водонепроницаемую камеру
S.DCKY	верфь	предприятие для постройки и ремонта судов
S.DIKE	канава	неглубокий и неширокий ров, обычно служащий для спуска или отвода воды
S.DIP	diplomatic facility	office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission
S.DPOF	склад горючего	специальное помещение, предназначенное для хранения горючего
S.EST	поместье	крупное земельное владение, обычно с усадьбой
S.ESTO	плантация масличных пальм	большая земельная площадь, на которой выращивают масличные пальмы
S.ESTR	каучуковая плантация	большая земельная площадь, на которой выращивают каучуковые деревья
S.ESTSG	сахарная плантация	большая земельная площадь, на которой выращивают сахарный тростник
S.ESTT	чайная плантация	большая земельная площадь, на которой выращивают чай
S.ESTX	участок плантации	
S.FCL	учреждение	организация, образуемая для осуществления определённого рода деятельности (Государственное у. Общественные учреждения. Научные учреждения. Торговое, лечебно-профилактическое, административное у.)
S.FNDY	литейный цех	мастерская, в которой происходит обработка металла путем плавления и заливки в литейные формы
S.FRM	ферма	частное сельскохозяйственное предприятие, принадлежащее фермеру и ведущееся им на собственной или арендованной земле
S.FRMQ	покинутая (заброшенная) ферма	
S.FRMS	фермы	частные сельскохозяйственные предприятия, принадлежащие фермеру и ведущиеся им на собственной или арендованной земле
S.FRMT	усадьба	жилой дом с примыкающими надворными постройками и угодьями (сад, огород и т.п.), представляющий собой отдельное хозяйство (преимущественно в сельской местности)
S.FT	крепость	защитное сооружение или земляное укрепление
S.FY	паром	плоскодонное судно, плот для переправы людей, транспорта, грузов через реку, озеро или пролив
S.GATE	ворота	конструкция для регулирования входа и выхода
S.GDN	сад	участок земли для выращивания садовых растений
S.GHAT	ghat	a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing
S.GHSE	гостиница	дом с меблированными комнатами («номерами») для временного проживания путешественников
S.GOSP	нефтегазовый сепаратор	аппарат для отделения газа от нефти
S.GOVL	local government office	a facility housing local governmental offices, usually a city, town, or village hall
S.GRVE	могила	место захоронения
S.HERM	скит	жилище монахов-отшельников
S.HLT	место привала	место, где караваны останавливаются, чтобы передохнуть
S.HMSD	homestead	a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand 
S.HSE	дом	жилое здание, строение
S.HSEC	загородный дом	дом, находящийся за городом, вне города, вблизи от него
S.HSP	госпиталь	лечебное учреждение, больница
S.HSPC	поликлиника	медицинское учреждение, осуществляющее внебольничное лечебно-профилактическое обслуживание населения
S.HSPD	диспансер	медицинское учреждение, занимающееся лечением и предупреждением болезней путём систематического врачебного наблюдения
S.HSPL	лепрозорий	приют для прокаженных
S.HSTS	исторический памятник	здания, сооружения, памятные места и предметы, связанные с важнейшими историческими событиями, жизнью исторических деятелей и т.п.
S.HTL	отель	то же, что и гостиница; дом для временного проживания туристов
S.HUT	хижина	небольшой примитивный домик
S.HUTS	хижины	небольшие примитивные домики
S.INSM	военная база	территория (важный в стратегическом или политическом отношении пункт, район) и размещенные на ней войска с запасами оружия, боеприпасов, продовольствия и других материальных средств, необходимых для боевой и повседневной деятельности
S.ITTR	научно-исследовательский институт	учреждение, занимающееся исследованиями
S.JTY	плотина	гидротехническое сооружение, перегораживающее реку (или др. водоток) для подъёма уровня воды перед ним, сосредоточения напора в месте расположения сооружения и создания водохранилища
S.LDNG	причал	совокупность сооружений и устройств для стоянки и обслуживания судов, посадки и высадки пассажиров, грузовых операций и т.п.
S.LEPC	приют для прокаженных	лечебное учреждение для больных проказой; место проживания и лечения таких больных
S.LIBR	библиотека	учреждение или отдел какого-л. учреждения, собирающие и хранящие книги, периодику, памятники письменности и т.п. для общественного пользования
S.LNDF	свалка	место, куда свозят, выбрасывают мусор, нечистоты, негодные вещи
